questionId,subjectId,questionText,optA,expA,optB,expB,optC,expC,optD,expD,optE,expE,optF,expF,correctAns,correctAnsExp,gTime,model,input_tokens,output_tokens,internalQuestionId
"","","How could a municipal bond be advantageous from a tax perspective?","Municipal bonds increase your tax liability.","This is incorrect because municipal bonds actually decrease your tax liability by providing tax-exempt income.","Municipal bonds are taxed at the federal level.","This is incorrect because municipal bonds are exempt from federal taxes.","Municipal bonds provide tax credits.","This is incorrect because municipal bonds provide tax-exempt income, not tax credits.","Municipal bonds are subject to capital gains tax.","This is incorrect because the interest income from municipal bonds is exempt from federal and, in some cases, state and local taxes. Capital gains tax applies only if the bond is sold for a profit.","Municipal bonds are taxed at the state level.","This is incorrect because municipal bonds are often exempt from state taxes, especially if the bond is issued within the state where the investor resides.","Municipal bonds are subject to estate tax.","This is incorrect because while the value of municipal bonds might be included in the estate, the income generated from them is tax-exempt.","Municipal bonds provide tax-exempt income.","Tax-exempt income from municipal bonds.","1689197267","gpt-4","1457","409","I56F7EKH6X"
"","","According to the SEC Act of 1934, which entity is required to regulate secondary trading of all domestic securities?","Securities and Exchange Commission (SEC)","While the SEC oversees and enforces the securities laws, it does not directly regulate secondary trading. This is the role of SROs.","Federal Reserve System","The Federal Reserve System is the central bank of the U.S. and is not involved in the regulation of secondary trading of securities.","Department of the Treasury","The Department of the Treasury is responsible for fiscal policy, not the regulation of secondary trading of securities.","Internal Revenue Service (IRS)","The IRS is responsible for the collection of taxes and the enforcement of tax law, not the regulation of secondary trading of securities.","Commodity Futures Trading Commission (CFTC)","The CFTC regulates commodity futures and option markets in the U.S., not secondary trading of securities.","Federal Trade Commission (FTC)","The FTC protects consumers and competition by preventing anticompetitive, deceptive, and unfair business practices, not the regulation of secondary trading of securities.","Self-Regulatory Organizations (SROs)","SROs regulate secondary trading under SEC's authority.","1689197274","gpt-4","1491","437","TKFH2NSR9L"
"","","How do nonqualified withdrawals from a 529 Plan affect tax liability?","No tax liability","This is incorrect because nonqualified withdrawals from a 529 Plan are subject to taxes and a 10% penalty.","Decreased tax liability","This is incorrect because nonqualified withdrawals from a 529 Plan increase, not decrease, tax liability.","Tax liability remains the same","This is incorrect because nonqualified withdrawals from a 529 Plan do affect tax liability, causing it to increase.","Tax liability is deferred","This is incorrect because nonqualified withdrawals from a 529 Plan do not defer tax liability, they increase it.","Tax liability is transferred","This is incorrect because nonqualified withdrawals from a 529 Plan do not transfer tax liability, they increase it.","Tax liability is waived","This is incorrect because nonqualified withdrawals from a 529 Plan do not waive tax liability, they increase it.","Increased tax liability","Nonqualified withdrawals from a 529 Plan increase tax liability due to income tax and a 10% penalty on the earnings portion of the withdrawal.","1689197274","gpt-4","1432","410","1SA83HNJSE"
"","","Define the term 'free riding' as it is used in the context of securities trading?","'Free riding' is the practice of buying securities at a low price and selling them at a high price.","This answer is incorrect because it describes a basic investment strategy, not the specific practice of free riding.","'Free riding' is the practice of buying securities and holding them for long-term growth.","This answer is incorrect because it describes a long-term investment strategy, not the specific practice of free riding.","'Free riding' is the practice of buying securities with borrowed funds.","This answer is incorrect because it describes margin trading, not the specific practice of free riding.","'Free riding' is the practice of buying securities and selling them immediately to make a quick profit.","This answer is incorrect because it describes day trading, not the specific practice of free riding.","'Free riding' is the practice of buying securities without the intention of paying for them.","This answer is incorrect because it implies theft, not the specific practice of free riding.","'Free riding' is the practice of buying securities and selling them before the settlement date without any profit expectation.","This answer is incorrect because it misses the crucial aspect of expecting to sell at a profit before the settlement date in the definition of free riding.","'Free riding' is the practice of buying securities without having the funds to cover the purchase, with the expectation of selling them at a profit before the settlement date.","Illegal practice of buying securities without funds, expecting profit before settlement.","1689197275","gpt-4","1524","465","20VBWXKBKK"
"","","During what phase of a variable annuity does the annuitization process occur?","Accumulation phase","The accumulation phase is when the annuitant makes payments into the annuity, not when the annuity payments are made to the annuitant.","Surrender phase","The surrender phase is when the annuitant withdraws all funds from the annuity, not when the annuity payments are made to the annuitant.","Free look period","The free look period is a short period after the annuity contract is signed during which the annuitant can cancel the contract, not when the annuity payments are made to the annuitant.","Death benefit phase","The death benefit phase is when the annuity pays out to the annuitant's beneficiaries after the annuitant's death, not when the annuity payments are made to the annuitant.","Premium payment phase","The premium payment phase is when the annuitant makes payments into the annuity, not when the annuity payments are made to the annuitant.","Probate phase","The probate phase is a legal process that occurs after the annuitant's death, not when the annuity payments are made to the annuitant.","Annuitization phase","The annuitization process of a variable annuity occurs during the annuitization phase.","1689197277","gpt-4","1443","445","7W5H82FC32"
"","","According to the guidelines by SEC, what type of annuity contract allows the holder to allocate premium payments among a selection of investment options?","Fixed annuity","A fixed annuity provides a guaranteed rate of return and does not allow the holder to allocate premium payments among a selection of investment options.","Immediate annuity","An immediate annuity begins payments to the annuitant immediately after purchase, and does not allow for allocation of premium payments among investment options.","Deferred annuity","A deferred annuity accumulates savings over time and begins payments at a later date, but does not allow for allocation of premium payments among investment options.","Indexed annuity","An indexed annuity provides a return based on a market index and does not allow the holder to allocate premium payments among a selection of investment options.","Qualified annuity","A qualified annuity is a type of annuity purchased with pre-tax dollars, but it does not allow the holder to allocate premium payments among a selection of investment options.","Single premium annuity","A single premium annuity is purchased with a single, lump-sum payment, but it does not allow the holder to allocate premium payments among a selection of investment options.","Variable annuity","Variable annuity allows allocation of premium payments among various investment options.","1689197277","gpt-4","1471","409","9N1CQQWYOA"
"","","How do the concepts of dollar-cost averaging benefit long-term investors in volatile market conditions?","Dollar-cost averaging increases the risk of loss in volatile markets.","This is incorrect because dollar-cost averaging actually mitigates risk by spreading out purchases over time, reducing the impact of short-term market fluctuations.","Dollar-cost averaging guarantees a profit in volatile markets.","This is incorrect because no investment strategy, including dollar-cost averaging, can guarantee a profit.","Dollar-cost averaging allows investors to predict future market trends.","This is incorrect because dollar-cost averaging is a strategy for managing risk, not predicting market trends.","Dollar-cost averaging is most effective in stable market conditions.","This is incorrect because dollar-cost averaging is particularly beneficial in volatile markets as it reduces the impact of market fluctuations.","Dollar-cost averaging leads to higher transaction costs.","This is incorrect because dollar-cost averaging can be implemented with regular, small purchases, which do not necessarily lead to higher transaction costs.","Dollar-cost averaging requires a large initial investment.","This is incorrect because dollar-cost averaging can be started with any amount and does not require a large initial investment.","Dollar-cost averaging reduces impact of market volatility and encourages disciplined investing.","Dollar-cost averaging: reduces volatility, encourages discipline.","1689197278","gpt-4","1492","397","46FQ502IKZ"
"","","How do mutual fund companies calculate the net asset value of their funds?","NAV per share = (Total market value of all securities - Income + Liabilities) / Number of outstanding shares| ","This formula incorrectly subtracts income instead of adding it, and adds liabilities instead of subtracting them.| ","NAV per share = (Total market value of all securities + Liabilities) / Number of outstanding shares| ","This formula incorrectly excludes income from the calculation and adds liabilities instead of subtracting them.| ","NAV per share = (Total market value of all securities + Income) / Number of outstanding shares| ","This formula incorrectly excludes liabilities from the calculation.| ","NAV per share = (Total market value of all securities + Income - Liabilities) x Number of outstanding shares| ","This formula incorrectly multiplies by the number of outstanding shares instead of dividing by it.| ","NAV per share = (Total market value of all securities - Income - Liabilities) / Number of outstanding shares| ","This formula incorrectly subtracts income and liabilities instead of adding income and subtracting liabilities.| ","NAV per share = (Total market value of all securities + Income + Liabilities) / Number of outstanding shares| ","This formula incorrectly adds liabilities instead of subtracting them.| ","NAV per share = (Total market value of all securities + Income - Liabilities) / Number of outstanding shares","NAV is calculated by dividing total assets minus liabilities by the number of outstanding shares.","1689197282","gpt-4","1527","500","KGMQZY8YZ9"
"","","How do the expense ratios of index mutual funds typically compare to those of actively managed mutual funds and why?","Index funds have higher expense ratios.","This is incorrect because index funds are passively managed, meaning they require less active management and therefore have lower expense ratios.","Expense ratios of index funds and actively managed funds are the same.","This is incorrect because actively managed funds require more resources and therefore have higher expense ratios.","Expense ratios of index funds depend on the market conditions.","This is incorrect because expense ratios are not directly influenced by market conditions.","Expense ratios of index funds are determined by the fund manager.","This is incorrect because expense ratios of index funds are not solely determined by the fund manager, but rather by the overall costs of managing the fund.","Expense ratios of index funds are unpredictable.","This is incorrect because expense ratios are not unpredictable, they are disclosed in the fund's prospectus.","Expense ratios of index funds are set by the government.","This is incorrect because expense ratios are not set by the government, they are determined by the fund company.","Index funds have lower expense ratios.","Index funds require less management, resulting in lower operating costs and lower expense ratios.","1689197284","gpt-4","1476","434","AMP3GJCRYG"
"","","Can a mutual fund's net asset value fluctuate and, if so, what factors influence these fluctuations?","No, a mutual fund's NAV is constant.","This is incorrect because the NAV of a mutual fund can fluctuate based on the value of the underlying assets.","Yes, but only the fund manager can influence the NAV.","This is incorrect because while the fund manager's decisions can impact the NAV, it is not the sole influencer. The value of the underlying assets also plays a role.","Yes, but only market conditions influence the NAV.","This is incorrect because while market conditions can influence the NAV, so can the fund manager's decisions and the value of the underlying assets.","No, the NAV is only influenced by the initial investment amount.","This is incorrect because the NAV is not solely influenced by the initial investment amount. It is influenced by the value of the underlying assets.","Yes, but it is only influenced by the number of investors in the fund.","This is incorrect because the number of investors does not directly influence the NAV. It is influenced by the value of the underlying assets.","No, the NAV is determined by the fund's annual performance.","This is incorrect because the NAV is not determined by the fund's annual performance. It is influenced by the value of the underlying assets.","Yes, a mutual fund's NAV can fluctuate.","NAV fluctuates with asset values and liabilities.","1689197286","gpt-4","1502","480","8QBFTBC1F9"
